title,year,journal,authors,doi,url,source,collected_at
"Charadriiform Birds in Antarctica: Behavioral, Morphological, and Physiological Adjustments Conserving Reproductive Success",1996,Physiological Zoology,Zoe A. Eppley,10.1086/physzool.69.6.30164272,https://doi.org/10.1086/physzool.69.6.30164272,crossref,2025-10-09T13:42:43+00:00
Potassium Accumulation and Sodium Efflux by <i>Porphyra perforata</i> Tissues in Lithium and Magnesium Sea Water,1959,The Journal of General Physiology,Richard W. Eppley,10.1085/jgp.43.1.29,https://doi.org/10.1085/jgp.43.1.29,crossref,2025-10-09T13:42:43+00:00
Surgical Technique for Primary Alveolar Bone Grafting,2005,Journal of Craniofacial Surgery,"John A van Aalst, Barry L Eppley, Ronald R Hathaway, A Michael Sadove",10.1097/01.scs.0000157311.85161.e8,https://doi.org/10.1097/01.scs.0000157311.85161.e8,crossref,2025-10-09T13:42:43+00:00
Methods for the Detection of Trichothecenes,1975,Journal of AOAC INTERNATIONAL,Robert M Eppley,10.1093/jaoac/58.5.906,https://doi.org/10.1093/jaoac/58.5.906,crossref,2025-10-09T13:42:43+00:00
Respiratory Responses to Cations in a Red Alga and Their Relationships to Ion Transport,1960,Plant Physiology,Richard W. Eppley,10.1104/pp.35.5.637,https://doi.org/10.1104/pp.35.5.637,crossref,2025-10-09T13:42:43+00:00
Short Term Variations in Primary Productivity,1986,Dynamic Processes in the Chemistry of the Upper Ocean,Richard E. Eppley,10.1007/978-1-4684-5215-0_15,https://doi.org/10.1007/978-1-4684-5215-0_15,crossref,2025-10-09T13:42:43+00:00
Hydrolysis of Polyphospliates by Porphyra and Other Seaweeds,1962,Physiologia Plantarum,Richard W. Eppley,10.1111/j.1399-3054.1962.tb08025.x,https://doi.org/10.1111/j.1399-3054.1962.tb08025.x,crossref,2025-10-09T13:42:43+00:00
The PRPOOS program: A study of plankton rate processes in oligotrophic oceans,1982,"Eos, Transactions American Geophysical Union",Richard W. Eppley,10.1029/eo063i022p00522-01,https://doi.org/10.1029/eo063i022p00522-01,crossref,2025-10-09T13:42:43+00:00
A PPM-focused klystron at X-band with a traveling-wave output structure,1995,AIP Conference Proceedings,Kenneth R. Eppley,10.1063/1.48391,https://doi.org/10.1063/1.48391,crossref,2025-10-09T13:42:43+00:00
Optimizing Aircraft Utilization for Retrograde Operations,2012,,Joel E. Eppley,10.21236/ada566064,https://doi.org/10.21236/ada566064,crossref,2025-10-09T13:42:43+00:00
Craniosynostosis,2008,Journal of Craniofacial Surgery,"Gregory D. Pearson, Robert J. Havlik, Barry Eppley, Matthew Nykiel, A. Michael Sadove",10.1097/scs.0b013e31815c8aae,https://doi.org/10.1097/scs.0b013e31815c8aae,crossref,2025-10-09T13:42:43+00:00
Joint AGU/ASLO Ocean Sciences '82 Meeting,1982,"Eos, Transactions American Geophysical Union",Richard W. Eppley,10.1029/eo063i018p00271-02,https://doi.org/10.1029/eo063i018p00271-02,crossref,2025-10-09T13:42:43+00:00
Developing a School Philosophy: Can it Improve Staff Morale?,1977,Middle School Journal,Ernest D. Eppley,10.1080/00940771.1977.11494812,https://doi.org/10.1080/00940771.1977.11494812,crossref,2025-10-09T13:42:43+00:00
A Versatile Procedure for Assay and Preparatory Separation of Aflatoxins from Peanut Products,1966,Journal of AOAC INTERNATIONAL,Robert M Eppley,10.1093/jaoac/49.6.1218,https://doi.org/10.1093/jaoac/49.6.1218,crossref,2025-10-09T13:42:43+00:00
"POTASSIUM-DEPENDENT SODIUM EXTRUSION BY CELLS OF PORPHYRA PERFORATA, A RED MARINE ALGA",1958,The Journal of General Physiology,Richard W. Eppley,10.1085/jgp.42.2.281,https://doi.org/10.1085/jgp.42.2.281,crossref,2025-10-09T13:42:43+00:00
"TAKENOUTI, A. Y. [Chief ed.]. 1972. <b>Biological oceanography of the northern North Pacific Ocean.</b> (Motoda commemorative volume.) Idemitsu Shoten, Tokyo. xiii + 626 p. $55.00.",1973,Limnology and Oceanography,RICHARD W. EPPLEY,10.4319/lo.1973.18.5.0818,https://doi.org/10.4319/lo.1973.18.5.0818,crossref,2025-10-09T13:42:43+00:00
Intracranial Pressure and Intracranial Volume in Children with Craniosynostosis,1993,Journal of Craniofacial Surgery,"D. T. Gault, D. Renier, D. Marchac, B. M. Jones, Barry L. Eppley",10.1097/00001665-199307000-00017,https://doi.org/10.1097/00001665-199307000-00017,crossref,2025-10-09T13:42:43+00:00
SECTION TWO: Caring for Yourself at Work,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-33,https://doi.org/10.5771/9781566996754-33,crossref,2025-10-09T13:42:43+00:00
"United States earthquakes, 1959",1984,Open-File Report,"R.A. Eppley, W.K. Cloud",10.3133/ofr84959,https://doi.org/10.3133/ofr84959,crossref,2025-10-09T13:42:43+00:00
&lt;title&gt;Design of a high-power cross-field amplifier at X-band with an internally coupled waveguide&lt;/title&gt;,1991,SPIE Proceedings,"Kenneth Eppley, Kwok Ko",10.1117/12.43503,https://doi.org/10.1117/12.43503,crossref,2025-10-09T13:42:43+00:00
Application of the Spanning Plate Concept to Frontal Orbital Advancement,2006,Journal of Craniofacial Surgery,"Fernando Burstein, Barry Eppley, Roger Hudgins, Joseph Williams, William Boydston, Andrew Reisner, Kevin Stevenson",10.1097/00001665-200603000-00007,https://doi.org/10.1097/00001665-200603000-00007,crossref,2025-10-09T13:42:43+00:00
Fetal and Infant Growth Patterns and Risk of Lower Lung Function and Asthma,2018,Pediatrics,"Todd Mahr, Jennilee Eppley",10.1542/peds.2018-2420mmm,https://doi.org/10.1542/peds.2018-2420mmm,crossref,2025-10-09T13:42:43+00:00
Effects of Nerve Growth Factor on Craniofacial Onlay Bone Graft Survival,1992,Journal of Craniofacial Surgery,"Barry L. Eppley, Robert V. Snyders, Thomas Winkelmann, John J. Delfino, A. Michael Sadove",10.1097/00001665-199203000-00003,https://doi.org/10.1097/00001665-199203000-00003,crossref,2025-10-09T13:42:43+00:00
Representing Rural: A Critical Content Analysis of Contemporary Middle Grade Novels Set in Rural Places,2024,Research in the Teaching of English,"Rachelle Kuehl, Karen Eppley",10.58680/rte2024584379,https://doi.org/10.58680/rte2024584379,crossref,2025-10-09T13:42:43+00:00
Lung Computational Models and the Role of the Small Airways in Asthma,2020,Pediatrics,"Jennilee Eppley, Todd Mahr",10.1542/peds.2020-023861kkk,https://doi.org/10.1542/peds.2020-023861kkk,crossref,2025-10-09T13:42:43+00:00
Acetaminophen Versus Ibuprofen in Young Children With Mild Persistent Asthma,2017,Pediatrics,"Todd Mahr, Jennilee Eppley",10.1542/peds.2017-2475e,https://doi.org/10.1542/peds.2017-2475e,crossref,2025-10-09T13:42:43+00:00
Phosphate uptake by phytoplankton in the central North Pacific Ocean,1981,Deep Sea Research Part A. Oceanographic Research Papers,"M.J Perry, R.W Eppley",10.1016/0198-0149(81)90109-6,https://doi.org/10.1016/0198-0149(81)90109-6,crossref,2025-10-09T13:42:43+00:00
Temporal pattern of division in the dinoflagellate genus ceratium and its application to the determination of growth rate,1979,Journal of Experimental Marine Biology and Ecology,"C.S. Weiler, R.W. Eppley",10.1016/0022-0981(79)90002-9,https://doi.org/10.1016/0022-0981(79)90002-9,crossref,2025-10-09T13:42:43+00:00
"Effects of Omalizumab on Rhinovirus Infections, Illnesses and Exacerbations of Asthma",2018,Pediatrics,"Todd Mahr, Jennilee Eppley",10.1542/peds.2018-2420qqqq,https://doi.org/10.1542/peds.2018-2420qqqq,crossref,2025-10-09T13:42:43+00:00
Guest Editors’ Statement,2019,Public Art Dialogue,"Charles Eppley, Åsa Stjerna",10.1080/21502552.2019.1571818,https://doi.org/10.1080/21502552.2019.1571818,crossref,2025-10-09T13:42:43+00:00
Field task proposal/agreement separation and purification of radioisotopes for research,1980,,"W.R. Wilkes, R.E. Eppley",10.2172/254993,https://doi.org/10.2172/254993,crossref,2025-10-09T13:42:43+00:00
Infant Viral Respiratory Infection Nasal Immune-Response Patterns and Their Association With Subsequent Childhood Recurrent Wheeze,2019,Pediatrics,"Jennilee Eppley, Todd Mahr",10.1542/peds.2019-2461ppp,https://doi.org/10.1542/peds.2019-2461ppp,crossref,2025-10-09T13:42:43+00:00
Ocular Injury Secondary to Periorbital Use of Stainless-Steel Wire and Suture,1995,Journal of Craniofacial Surgery,"R. P. Yeatts, J. Harvey, G. B. Bartley, J. J. Nerney, Barry L. Eppley",10.1097/00001665-199501000-00023,https://doi.org/10.1097/00001665-199501000-00023,crossref,2025-10-09T13:42:43+00:00
Appendix: Annotated Resources,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-193,https://doi.org/10.5771/9781566996754-193,crossref,2025-10-09T13:42:43+00:00
Nanomolar increase in surface layer nitrate concentration following a small wind event,1988,Deep Sea Research Part A. Oceanographic Research Papers,"R.W. Eppley, E.H. Renger",10.1016/0198-0149(88)90004-0,https://doi.org/10.1016/0198-0149(88)90004-0,crossref,2025-10-09T13:42:43+00:00
The Spiritual Leader's Guide to Self-Care,2002,,"Rochelle Melander, Harold Eppley",10.5771/9781566996754,https://doi.org/10.5771/9781566996754,crossref,2025-10-09T13:42:43+00:00
Resorbable Screw Fixation Technique for Endoscopic Brow and Midfacial Lifts,1998,Plastic and Reconstructive Surgery,"Barry L. Eppley, John J. Coleman, Rajiv Sood, Richard Y. Ha, Michael A. Sadove",10.1097/00006534-199807000-00041,https://doi.org/10.1097/00006534-199807000-00041,crossref,2025-10-09T13:42:43+00:00
Orbital Teratoma Associated with Trigonocephaly,1991,Plastic and Reconstructive Surgery,"A. Michael Sadove, John E. Kalsbeck, Forrest D. Ellis, Barry L. Eppley, Raghu Elluru",10.1097/00006534-199112000-00018,https://doi.org/10.1097/00006534-199112000-00018,crossref,2025-10-09T13:42:43+00:00
A Biomechanical Analysis of the Stability of Titanium Bone Fixation Systems in Proximal Phalangeal Fractures,1996,Annals of Plastic Surgery,"Christopher D. Prevel, Thomas Katona, Barry L. Eppley, Keith Moore, Michael McCarty, Jing Ge",10.1097/00000637-199611000-00004,https://doi.org/10.1097/00000637-199611000-00004,crossref,2025-10-09T13:42:43+00:00
SECTION ONE: Creating a Life Vision,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-1,https://doi.org/10.5771/9781566996754-1,crossref,2025-10-09T13:42:43+00:00
Practice-Based Evidence,2017,"Literacy Research: Theory, Method, and Practice","Karen Eppley, Patrick Shannon",10.1177/2381336917719685,https://doi.org/10.1177/2381336917719685,crossref,2025-10-09T13:42:43+00:00
SECTION FIVE: Caring for Your Spiritual and Intellectual Needs,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-153,https://doi.org/10.5771/9781566996754-153,crossref,2025-10-09T13:42:43+00:00
SECTION FOUR: Caring for Your Physical and Material Needs,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-110,https://doi.org/10.5771/9781566996754-110,crossref,2025-10-09T13:42:43+00:00
The Effect of Therapeutic Irradiation on LactoSorb® Absorbable Copolymer,2002,Journal of Craniofacial Surgery,"William S. Pietrzak, Maritza Gamboa, Ketan Patel, Dushyant Sharma, Mukesh Kumar, Barry L. Eppley",10.1097/00001665-200207000-00015,https://doi.org/10.1097/00001665-200207000-00015,crossref,2025-10-09T13:42:43+00:00
Reproductive biomass allocation in the dioecious perennial Acanthosicyos horrida,2001,South African Journal of Botany,"S.M. Eppley, E.H. Wenk",10.1016/s0254-6299(15)31086-3,https://doi.org/10.1016/s0254-6299(15)31086-3,crossref,2025-10-09T13:42:43+00:00
More than rainbows,2022,Queer Sharing in the Marketized University,"Jeffrey Eppley, Chad Mandala",10.4324/9781003203254-16,https://doi.org/10.4324/9781003203254-16,crossref,2025-10-09T13:42:43+00:00
Effects of Skeletal Fixation on Craniofacial Imaging,1993,Journal of Craniofacial Surgery,"Barry L. Eppley, Christie Sparks, Erv Herman, Mary Edwards, Michael McCarty, A. Michael Sadove",10.1097/00001665-199304000-00003,https://doi.org/10.1097/00001665-199304000-00003,crossref,2025-10-09T13:42:43+00:00
Team Meeting: The Whippoorwill Award Winners: Middle Grades and Young Adult Books Show the Diversity and Richness of Identities in Rural Settings,2022,Voices from the Middle,"Devon Brenner, Karen Eppley",10.58680/vm202232096,https://doi.org/10.58680/vm202232096,crossref,2025-10-09T13:42:43+00:00
Cranial Vault Expansion Using Transcutaneously Activated Magnetic Implants,1999,Journal of Craniofacial Surgery,"G. Rinehart, T. Forget, J. Zografakis, A. N. Manepalli, T. Pittman, Barry L. Eppley",10.1097/00001665-199903000-00014,https://doi.org/10.1097/00001665-199903000-00014,crossref,2025-10-09T13:42:43+00:00
Serious Asthma Events With Budesonide Plus Formoterol Vs. Budesonide Alone,2017,Pediatrics,"Todd Mahr, Jennilee Eppley",10.1542/peds.2017-2475eeee,https://doi.org/10.1542/peds.2017-2475eeee,crossref,2025-10-09T13:42:43+00:00
SECTION SIX: Sustaining a Life Vision,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-179,https://doi.org/10.5771/9781566996754-179,crossref,2025-10-09T13:42:43+00:00
The necessity of quantizing the gravitational field,1977,Foundations of Physics,"Kenneth Eppley, Eric Hannah",10.1007/bf00715241,https://doi.org/10.1007/bf00715241,crossref,2025-10-09T13:42:43+00:00
Indirect effects of an oil spill: reproductive failure in a population of South Polar skuas following the 'Bahia Paraiso' oil spill in Antarctica,1990,Marine Ecology Progress Series,"ZA Eppley, MA Rubega",10.3354/meps067001,https://doi.org/10.3354/meps067001,crossref,2025-10-09T13:42:43+00:00
"Light, temperature and nitrogen as interacting factors affecting diel vertical migrations of dinoflagellates in culture",1981,Journal of Plankton Research,"S.I. Heaney, R.W. Eppley",10.1093/plankt/3.2.331,https://doi.org/10.1093/plankt/3.2.331,crossref,2025-10-09T13:42:43+00:00
Preface,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-i,https://doi.org/10.5771/9781566996754-i,crossref,2025-10-09T13:42:43+00:00
Combined Analysis of Asthma Safety Trials of Long-Acting β2-Agonists,2019,Pediatrics,"Todd Mahr, Jennilee Eppley",10.1542/peds.2019-2461hhhh,https://doi.org/10.1542/peds.2019-2461hhhh,crossref,2025-10-09T13:42:43+00:00
Significance of the Lateral Canthal Tendon in Craniofacial Surgery,1996,Journal of Craniofacial Surgery,"A. D. Parent, S. K. Das, R. A. Mallette, D. E. Haines, Barry L. Eppley",10.1097/00001665-199605000-00021,https://doi.org/10.1097/00001665-199605000-00021,crossref,2025-10-09T13:42:43+00:00
Relationship Between Intracranial Pressure and Intracranial Volume in Craniosynostosis,1993,Journal of Craniofacial Surgery,"H. Fok, B. M. Jones, D. G. Gault, U. Andar, R. Hayward, Barry L. Eppley",10.1097/00001665-199307000-00021,https://doi.org/10.1097/00001665-199307000-00021,crossref,2025-10-09T13:42:43+00:00
Craniofacial Growth in Rabbits,1997,Journal of Craniofacial Surgery,"J. F. Laurenzo, J. W. Canady, B. Zimmerman, R. J. H. Smith, Barry L. Eppley",10.1097/00001665-199701000-00027,https://doi.org/10.1097/00001665-199701000-00027,crossref,2025-10-09T13:42:43+00:00
SECTION THREE: Nurturing Your Relationships,2002,The Spiritual Leader's Guide to Self-Care,"Rochelle Melander, Harold Eppley",10.5771/9781566996754-73,https://doi.org/10.5771/9781566996754-73,crossref,2025-10-09T13:42:43+00:00
Putting Foucault to Work: Understanding Power in a Rural School,2014,Peabody Journal of Education,"Carrie Freie, Karen Eppley",10.1080/0161956x.2014.958908,https://doi.org/10.1080/0161956x.2014.958908,crossref,2025-10-09T13:42:43+00:00
DNA barcoding reveals mislabeling of endangered sharks sold as swordfish in New England fish markets,2024,,"Madeline G. Eppley, Thomas Coote",10.21203/rs.3.rs-4547946/v1,https://doi.org/10.21203/rs.3.rs-4547946/v1,crossref,2025-10-09T13:42:43+00:00
Free Bone Graft Reconstruction of Irradiated Facial Tissue,1991,Plastic and Reconstructive Surgery,"Barry L. Eppley, Daniel T. Connolly, Thomas Winkelmann, A. Michael Sadove, Deborah Heuvelman, Joseph Feder",10.1097/00006534-199107000-00001,https://doi.org/10.1097/00006534-199107000-00001,crossref,2025-10-09T13:42:43+00:00
Protective stenting for prevention of microvascular vascular pedicle compression,2014,"Journal of Plastic, Reconstructive &amp; Aesthetic Surgery","Kristopher B. Hamwi, Roberto L. Flores, Barry L. Eppley, Sunil S. Tholpady, Adam C. Cohen",10.1016/j.bjps.2014.08.010,https://doi.org/10.1016/j.bjps.2014.08.010,crossref,2025-10-09T13:42:43+00:00
THE TEMPERATURE COEFFICIENTS OF UNSATURATED WESTON CELLS,1923,Journal of the American Chemical Society,"Warren C. Vosburgh, Marion Eppley",10.1021/ja01663a007,https://doi.org/10.1021/ja01663a007,crossref,2025-10-09T13:42:43+00:00
Absolute Radiometry Based on a Change in Electrical Resistance,1957,Journal of the Optical Society of America,"Marion Eppley, Alton R. Karoli",10.1364/josa.47.000748,https://doi.org/10.1364/josa.47.000748,crossref,2025-10-09T13:42:43+00:00
Adjunctive liposuction for optimizing surgical access in the obese patient,2016,"Journal of Plastic, Reconstructive &amp; Aesthetic Surgery","Jeff Lastfogel, Leigh J. Spera, Barry L. Eppley, Roberto Flores, Mary E. Lester, Sunil Tholpady",10.1016/j.bjps.2015.09.018,https://doi.org/10.1016/j.bjps.2015.09.018,crossref,2025-10-09T13:42:43+00:00
Primary Alveolar Cleft Bone Grafting in Unilateral Cleft Lip and Palate,1999,Journal of Craniofacial Surgery,"Ronald R. Hathaway, Barry L. Eppley, David K. Hennon, Charles L. Nelson, A. Michael Sadove",10.1097/00001665-199901000-00012,https://doi.org/10.1097/00001665-199901000-00012,crossref,2025-10-09T13:42:43+00:00
Mini and micro plating of phalangeal and metacarpal fractures: A biomechanical study,1995,The Journal of Hand Surgery,"Christopher D. Prevel, Barry L. Eppley, J. Ryan Jackson, Keith Moore, Michael McCarty, Rajiv Wood",10.1016/s0363-5023(05)80057-7,https://doi.org/10.1016/s0363-5023(05)80057-7,crossref,2025-10-09T13:42:43+00:00
Cathemeral,2018,Encyclopedia of Animal Cognition and Behavior,"Timothy M. Eppley, Giuseppe Donati",10.1007/978-3-319-47829-6_246-1,https://doi.org/10.1007/978-3-319-47829-6_246-1,crossref,2025-10-09T13:42:43+00:00
Use of Wave Number in Radiation Formulas,1953,Journal of the Optical Society of America,"Marion Eppley, Alton R. Karoli",10.1364/josa.43.000957,https://doi.org/10.1364/josa.43.000957,crossref,2025-10-09T13:42:43+00:00
"Alginase in the Sea Urchin
            <i>Strongylocentrotus purpuratus</i>",1959,Science,"Richard W. Eppley, Reuben Lasker",10.1126/science.129.3343.214,https://doi.org/10.1126/science.129.3343.214,crossref,2025-10-09T13:42:43+00:00
Hyperglycemia Management in the Hospital: The Pharmacists Role,2009,Hospital Pharmacy,"Melody A. Eppley, Garrett Serr",10.1310/hpj4407-594,https://doi.org/10.1310/hpj4407-594,crossref,2025-10-09T13:42:43+00:00
"Changes in Expression of Contractile FP and Relaxatory EP2 Receptors in Pregnant Rat Myometrium during Late Gestation, at Labor, and Postpartum1",1998,Biology of Reproduction,"Julia Brodt-Eppley, Leslie Myatt",10.1095/biolreprod59.4.878,https://doi.org/10.1095/biolreprod59.4.878,crossref,2025-10-09T13:42:43+00:00
Rapid Growth of Sewage Lagoon Chlamydomonas with Acetate,1962,Physiologia Plantarum,"R. W. Eppley, M. MaciasR",10.1111/j.1399-3054.1962.tb07988.x,https://doi.org/10.1111/j.1399-3054.1962.tb07988.x,crossref,2025-10-09T13:42:43+00:00
CT-Based Size and Shape Determination of the Craniofacial Skeleton: A New Scoring System to Assess Bony Deformities in Hemifacial Microsomia,2001,Journal of Craniofacial Surgery,"Clara E. Huisinga-Fischer, Frans W. Zonneveld, J. Michiel Vaandrager, Birte Prahl-Andersen, Barry L. Eppley",10.1097/00001665-200101000-00015,https://doi.org/10.1097/00001665-200101000-00015,crossref,2025-10-09T13:42:43+00:00
The Spectrum of Orofacial Clefting,2005,Plastic and Reconstructive Surgery,"Barry L. Eppley, John A. van Aalst, Ashley Robey, Robert J. Havlik, A Michael Sadove",10.1097/01.prs.0000164494.45986.91,https://doi.org/10.1097/01.prs.0000164494.45986.91,crossref,2025-10-09T13:42:43+00:00
THE ELECTROMETRIC TITRATION OF DICHROMATE WITH FERROUS SULFATE,1922,Journal of the American Chemical Society,"Marion Eppley, Warren C. Vosburgh",10.1021/ja01431a008,https://doi.org/10.1021/ja01431a008,crossref,2025-10-09T13:42:43+00:00
Cathemeral,2022,Encyclopedia of Animal Cognition and Behavior,"Timothy M. Eppley, Giuseppe Donati",10.1007/978-3-319-55065-7_246,https://doi.org/10.1007/978-3-319-55065-7_246,crossref,2025-10-09T13:42:43+00:00
DNA barcoding reveals mislabeling of endangered sharks sold as swordfish in New England fish markets,2025,Conservation Genetics,"Madeline G. Eppley, Thomas Coote",10.1007/s10592-025-01675-5,https://doi.org/10.1007/s10592-025-01675-5,crossref,2025-10-09T13:42:43+00:00
Prostaglandin Receptors in Lower Segment Myometrium During Gestation and Labor,1999,Obstetrics &amp; Gynecology,"JULIA BRODT-EPPLEY, LESLIE MYATT",10.1097/00006250-199901000-00019,https://doi.org/10.1097/00006250-199901000-00019,crossref,2025-10-09T13:42:43+00:00
Bipedicle Fasciocutaneous Flaps for Inframalleolar Vascular Graft Coverage at the Ankle/Foot,2001,Annals of Plastic Surgery,"Rajiv Sood, Ryan P. Flannagan, Stephen Lalka, Christopher D. Prevel, Barry L. Eppley, John J. Coleman",10.1097/00000637-200111000-00007,https://doi.org/10.1097/00000637-200111000-00007,crossref,2025-10-09T13:42:43+00:00
12 Months' Operational Experience With a FPSO Handling the Production From Three Fields Offshore Nigeria,1987,Offshore Technology Conference,"D.R. Eppley, P.B. Van Berkel",10.4043/5491-ms,https://doi.org/10.4043/5491-ms,crossref,2025-10-09T13:42:43+00:00
Transoral Approach to the Nasopharynx and Clivus Using the LeFort I Osteotomy with Midpalatal Split,1991,Journal of Craniofacial Surgery,"George K. B. Sandor, David A. Charles, Victor G. Lawson, Charles H. Tator, Barry L. Eppley",10.1097/00001665-199112000-00013,https://doi.org/10.1097/00001665-199112000-00013,crossref,2025-10-09T13:42:43+00:00
Iris Heterochromia in Acquired Horner Syndrome Following Surgical Excision of Parapharyngeal Neuroblastoma,2023,Child Neurology Open,"Sarah E. Eppley, Azam Qureshi",10.1177/2329048x231219205,https://doi.org/10.1177/2329048x231219205,crossref,2025-10-09T13:42:43+00:00
"Nitrate use by plankton in the eastern subtropical North Atlantic, March‐April 1989",1990,Limnology and Oceanography,"Richard W. Eppley, Wolfgang Koeve",10.4319/lo.1990.35.8.1781,https://doi.org/10.4319/lo.1990.35.8.1781,crossref,2025-10-09T13:42:43+00:00
Reviving the Rarity of Cecal Lymphangioma: A Case Report,2024,Cureus,"David A Eppley, Zaid Rana",10.7759/cureus.69209,https://doi.org/10.7759/cureus.69209,crossref,2025-10-09T13:42:43+00:00
THE EFFECT OF VARIOUS PREPARATIONS OF MERCUROUS SULFATE ON THE ELECTROMOTIVE FORCE AND HYSTERESIS OF WESTON STANDARD CELLS,1924,Journal of the American Chemical Society,"Warren C. Vosburgh, Marion Eppley",10.1021/ja01666a015,https://doi.org/10.1021/ja01666a015,crossref,2025-10-09T13:42:43+00:00
AN IMPROVED FEUSSNER TYPE POTENTIOMETER,1931,Review of Scientific Instruments,"Marion Eppley, William R. Gray",10.1063/1.1748786,https://doi.org/10.1063/1.1748786,crossref,2025-10-09T13:42:43+00:00
A Simple Direct-Reading Potentiometer for Standard Cell Comparisons,1922,Journal of the Optical Society of America,"Marion Eppley, William R. Gray",10.1364/josa.6.000859,https://doi.org/10.1364/josa.6.000859,crossref,2025-10-09T13:42:43+00:00
Portable Unsaturated Weston Cells,1924,Journal of the Optical Society of America,"Warren C. Vosburgh, Marion Eppley",10.1364/josa.9.000065,https://doi.org/10.1364/josa.9.000065,crossref,2025-10-09T13:42:43+00:00
Sympathetic blockade of isolated rat hindlimbs by intra‐arterial guanethidine: The effect on blood flow and arterial‐venous shunting,1995,Microsurgery,"Michael E. McCarty, Eugene A. Grossi, Court Cutting, Christopher D. Prevel, Raguram Elluru, Barry L. Eppley",10.1002/micr.1920160708,https://doi.org/10.1002/micr.1920160708,crossref,2025-10-09T13:42:43+00:00
Quantitative analysis of organolithium reagents,1967,Journal of Organometallic Chemistry,"Robert L. Eppley, Joseph A. Dixon",10.1016/s0022-328x(00)84716-6,https://doi.org/10.1016/s0022-328x(00)84716-6,crossref,2025-10-09T13:42:43+00:00
Perinatal changes in avian muscle: Implications from ultrastructure for the development of endothermy,1995,Journal of Morphology,"Zoe A. Eppley, Brenda Russell",10.1002/jmor.1052250307,https://doi.org/10.1002/jmor.1052250307,crossref,2025-10-09T13:42:43+00:00
High Pressure Liquid Chromatographic Determination of Satratoxins G and H in Cereal Grains,1980,Journal of AOAC INTERNATIONAL,"Michael E Stack, Robert M Eppley",10.1093/jaoac/63.6.1278,https://doi.org/10.1093/jaoac/63.6.1278,crossref,2025-10-09T13:42:43+00:00
"Cell Space and Apparent Free Space in the Red Alga, Porphyra Perforata.",1957,Plant Physiology,"Richard W. Eppley, L. R. Blinks",10.1104/pp.32.1.63,https://doi.org/10.1104/pp.32.1.63,crossref,2025-10-09T13:42:43+00:00
NITROGEN ASSIMILATION OF AN OCEANIC DIATOM IN NITROGEN-LIMITED CONTINUOUS CULTURE1,1974,Journal of Phycology,"Richard W. Eppley, Edward H. Renger",10.1111/j.0022-3646.1974.00015.x,https://doi.org/10.1111/j.0022-3646.1974.00015.x,crossref,2025-10-09T13:42:43+00:00
The addition to and alkylation of naphthalene by tert-butyllithium. Kinetics and mechanism,1968,Journal of the American Chemical Society,"R. L. Eppley, J. A. Dixon",10.1021/ja01008a034,https://doi.org/10.1021/ja01008a034,crossref,2025-10-09T13:42:43+00:00
Particulate organic matter flux and planktonic new production in the deep ocean,1979,Nature,"Richard W. Eppley, Bruce J. Peterson",10.1038/282677a0,https://doi.org/10.1038/282677a0,crossref,2025-10-09T13:42:43+00:00
Does direct instruction work?: A critical assessment of direct instruction research and its theoretical perspective,2018,Journal of Curriculum and Pedagogy,"Karen Eppley, Curt Dudley-Marling",10.1080/15505170.2018.1438321,https://doi.org/10.1080/15505170.2018.1438321,crossref,2025-10-09T13:42:43+00:00
The Recognition of Streptococcal Pharyngitis,1971,Clinical Pediatrics,"Richard H. Rapkin, Margaret L. Eppley",10.1177/000992287101001212,https://doi.org/10.1177/000992287101001212,crossref,2025-10-09T13:42:43+00:00
Steady-state ion beam modeling with MICHELLE,,"The 31st IEEE International Conference on Plasma Science, 2004. ICOPS 2004. IEEE Conference Record - Abstracts.","J.J. Petillo, K. Eppley, D. Panagos",10.1109/plasma.2004.1339864,https://doi.org/10.1109/plasma.2004.1339864,crossref,2025-10-09T13:42:43+00:00
Lecture Notes on Coastal and Estuarine Studies. Volume 15. Plankton Dynamics of the Southern California Bight,1987,Estuaries,"Peter G. Verity, R. W. Eppley",10.2307/1352185,https://doi.org/10.2307/1352185,crossref,2025-10-09T13:42:43+00:00
Indirect effects of an oil spill,1989,Nature,"ZOE A. EPPLEY, MARGARET A. RUBEGA",10.1038/340513a0,https://doi.org/10.1038/340513a0,crossref,2025-10-09T13:42:43+00:00
